Checkpoint,JobID,FitSources,ValidationSources,NetworkLoaded
checkpoints/original/models/Full3C/Full3C_TCN_fold1_seed42.mat,Full3C_TCN_fold1_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_TCN_fold2_seed42.mat,Full3C_TCN_fold2_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_TCN_fold3_seed42.mat,Full3C_TCN_fold3_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_TCN_fold4_seed42.mat,Full3C_TCN_fold4_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_TCN_fold5_seed42.mat,Full3C_TCN_fold5_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_waveonly3_fold-1_seed42.mat,Full3C_waveonly3_fold-1_seed42,1480,317,1
checkpoints/original/models/Full3C/Full3C_waveonly3_fold-1_seed43.mat,Full3C_waveonly3_fold-1_seed43,1480,317,1
checkpoints/original/models/Full3C/Full3C_waveonly3_fold-1_seed44.mat,Full3C_waveonly3_fold-1_seed44,1480,317,1
checkpoints/original/models/Zonly/Zonly_CNN_fold0_seed42.mat,Zonly_CNN_fold0_seed42,1480,317,1
checkpoints/original/models/Zonly/Zonly_CNN_fold1_seed42.mat,Zonly_CNN_fold1_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_CNN_fold2_seed42.mat,Zonly_CNN_fold2_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_CNN_fold3_seed42.mat,Zonly_CNN_fold3_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_CNN_fold4_seed42.mat,Zonly_CNN_fold4_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_CNN_fold5_seed42.mat,Zonly_CNN_fold5_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_full15ch_fold-1_seed42.mat,Zonly_full15ch_fold-1_seed42,1480,317,1
checkpoints/original/models/Zonly/Zonly_full15ch_fold-1_seed43.mat,Zonly_full15ch_fold-1_seed43,1480,317,1
checkpoints/original/models/Zonly/Zonly_full15ch_fold-1_seed44.mat,Zonly_full15ch_fold-1_seed44,1480,317,1
checkpoints/original/models/Zonly/Zonly_TCN_fold0_seed42.mat,Zonly_TCN_fold0_seed42,1480,317,1
checkpoints/original/models/Zonly/Zonly_TCN_fold1_seed42.mat,Zonly_TCN_fold1_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_TCN_fold2_seed42.mat,Zonly_TCN_fold2_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_TCN_fold3_seed42.mat,Zonly_TCN_fold3_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_TCN_fold4_seed42.mat,Zonly_TCN_fold4_seed42,1006,178,1
checkpoints/original/models/Zonly/Zonly_TCN_fold5_seed42.mat,Zonly_TCN_fold5_seed42,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_CNN_fold0_seed43.mat,Full3C_CNN_fold0_seed43,1480,317,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_CNN_fold1_seed43.mat,Full3C_CNN_fold1_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_CNN_fold2_seed43.mat,Full3C_CNN_fold2_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_CNN_fold3_seed43.mat,Full3C_CNN_fold3_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_CNN_fold4_seed43.mat,Full3C_CNN_fold4_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_CNN_fold5_seed43.mat,Full3C_CNN_fold5_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed42.mat,Full3C_full15ch_fold-1_seed42,1480,317,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed43.mat,Full3C_full15ch_fold-1_seed43,1480,317,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed44.mat,Full3C_full15ch_fold-1_seed44,1480,317,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_TCN_fold0_seed43.mat,Full3C_TCN_fold0_seed43,1480,317,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_TCN_fold1_seed43.mat,Full3C_TCN_fold1_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_TCN_fold2_seed43.mat,Full3C_TCN_fold2_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_TCN_fold3_seed43.mat,Full3C_TCN_fold3_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_TCN_fold4_seed43.mat,Full3C_TCN_fold4_seed43,1006,178,1
checkpoints/extension/base_43/Full3C/models/Full3C/Full3C_TCN_fold5_seed43.mat,Full3C_TCN_fold5_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_CNN_fold0_seed43.mat,Zonly_CNN_fold0_seed43,1480,317,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_CNN_fold1_seed43.mat,Zonly_CNN_fold1_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_CNN_fold2_seed43.mat,Zonly_CNN_fold2_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_CNN_fold3_seed43.mat,Zonly_CNN_fold3_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_CNN_fold4_seed43.mat,Zonly_CNN_fold4_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_CNN_fold5_seed43.mat,Zonly_CNN_fold5_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_full15ch_fold-1_seed42.mat,Zonly_full15ch_fold-1_seed42,1480,317,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_full15ch_fold-1_seed43.mat,Zonly_full15ch_fold-1_seed43,1480,317,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_full15ch_fold-1_seed44.mat,Zonly_full15ch_fold-1_seed44,1480,317,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_TCN_fold0_seed43.mat,Zonly_TCN_fold0_seed43,1480,317,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_TCN_fold1_seed43.mat,Zonly_TCN_fold1_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_TCN_fold2_seed43.mat,Zonly_TCN_fold2_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_TCN_fold3_seed43.mat,Zonly_TCN_fold3_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_TCN_fold4_seed43.mat,Zonly_TCN_fold4_seed43,1006,178,1
checkpoints/extension/base_43/Zonly/models/Zonly/Zonly_TCN_fold5_seed43.mat,Zonly_TCN_fold5_seed43,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_CNN_fold0_seed44.mat,Full3C_CNN_fold0_seed44,1480,317,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_CNN_fold1_seed44.mat,Full3C_CNN_fold1_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_CNN_fold2_seed44.mat,Full3C_CNN_fold2_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_CNN_fold3_seed44.mat,Full3C_CNN_fold3_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_CNN_fold4_seed44.mat,Full3C_CNN_fold4_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_CNN_fold5_seed44.mat,Full3C_CNN_fold5_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed42.mat,Full3C_full15ch_fold-1_seed42,1480,317,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed43.mat,Full3C_full15ch_fold-1_seed43,1480,317,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed44.mat,Full3C_full15ch_fold-1_seed44,1480,317,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_TCN_fold0_seed44.mat,Full3C_TCN_fold0_seed44,1480,317,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_TCN_fold1_seed44.mat,Full3C_TCN_fold1_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_TCN_fold2_seed44.mat,Full3C_TCN_fold2_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_TCN_fold3_seed44.mat,Full3C_TCN_fold3_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_TCN_fold4_seed44.mat,Full3C_TCN_fold4_seed44,1006,178,1
checkpoints/extension/base_44/Full3C/models/Full3C/Full3C_TCN_fold5_seed44.mat,Full3C_TCN_fold5_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_CNN_fold0_seed44.mat,Zonly_CNN_fold0_seed44,1480,317,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_CNN_fold1_seed44.mat,Zonly_CNN_fold1_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_CNN_fold2_seed44.mat,Zonly_CNN_fold2_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_CNN_fold3_seed44.mat,Zonly_CNN_fold3_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_CNN_fold4_seed44.mat,Zonly_CNN_fold4_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_CNN_fold5_seed44.mat,Zonly_CNN_fold5_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_full15ch_fold-1_seed42.mat,Zonly_full15ch_fold-1_seed42,1480,317,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_full15ch_fold-1_seed43.mat,Zonly_full15ch_fold-1_seed43,1480,317,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_full15ch_fold-1_seed44.mat,Zonly_full15ch_fold-1_seed44,1480,317,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_TCN_fold0_seed44.mat,Zonly_TCN_fold0_seed44,1480,317,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_TCN_fold1_seed44.mat,Zonly_TCN_fold1_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_TCN_fold2_seed44.mat,Zonly_TCN_fold2_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_TCN_fold3_seed44.mat,Zonly_TCN_fold3_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_TCN_fold4_seed44.mat,Zonly_TCN_fold4_seed44,1006,178,1
checkpoints/extension/base_44/Zonly/models/Zonly/Zonly_TCN_fold5_seed44.mat,Zonly_TCN_fold5_seed44,1006,178,1
checkpoints/extension/phasenet/Full3C/seed_42/models/Full3C/Full3C_PhaseNetMatched_fold-1_seed42.mat,Full3C_PhaseNetMatched_fold-1_seed42,1480,317,1
checkpoints/extension/phasenet/Full3C/seed_43/models/Full3C/Full3C_PhaseNetMatched_fold-1_seed43.mat,Full3C_PhaseNetMatched_fold-1_seed43,1480,317,1
checkpoints/extension/phasenet/Full3C/seed_44/models/Full3C/Full3C_PhaseNetMatched_fold-1_seed44.mat,Full3C_PhaseNetMatched_fold-1_seed44,1480,317,1
checkpoints/extension/phasenet/Zonly/seed_42/models/Zonly/Zonly_PhaseNetMatched_fold-1_seed42.mat,Zonly_PhaseNetMatched_fold-1_seed42,1480,317,1
checkpoints/extension/phasenet/Zonly/seed_43/models/Zonly/Zonly_PhaseNetMatched_fold-1_seed43.mat,Zonly_PhaseNetMatched_fold-1_seed43,1480,317,1
checkpoints/extension/phasenet/Zonly/seed_44/models/Zonly/Zonly_PhaseNetMatched_fold-1_seed44.mat,Zonly_PhaseNetMatched_fold-1_seed44,1480,317,1
