event_id,verified_source_id,historical_role,corrected_role,p_status,s_status,both_manual,station_key,historical_source_roles,source_historical_train_or_val
stead_event_00053,405375,test,train,autopicker,autopicker,False,ZQ.AAM1,train|test,True
stead_event_00054,448605,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00055,423377,test,train,autopicker,autopicker,False,ZQ.AAM1,test,False
stead_event_00056,338507,train,val,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00057,429451,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00058,429464,train,train,autopicker,autopicker,False,ZQ.AAM1,train|test,True
stead_event_00059,39672,train,train,autopicker,autopicker,False,ZQ.AAM1,train|test,True
stead_event_00060,458578,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00061,40969,train,val,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00062,419718,val,train,autopicker,autopicker,False,ZQ.AAM1,val|test,True
stead_event_00063,335476,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00064,377479,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00065,427431,train,train,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00066,413582,train,train,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00067,334594,val,train,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00068,392291,train,val,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00069,428454,test,train,autopicker,autopicker,False,ZQ.AAM1,train|test,True
stead_event_00070,474506,val,train,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00071,43425,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00072,37441,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00073,432389,val,train,autopicker,autopicker,False,ZQ.AAM1,val,True
stead_event_00074,441362,val,val,autopicker,autopicker,False,ZQ.AAM1,train|val|test,True
stead_event_00075,458505,val,train,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00076,45392,val,train,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00077,36493,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00078,366492,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00079,42768,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00080,378456,test,val,autopicker,autopicker,False,ZQ.AAM2,test,False
stead_event_00081,377378,train,val,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00082,42145,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00083,3887,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00084,371473,train,train,autopicker,autopicker,False,ZQ.AAM2,train|val|test,True
stead_event_00085,449393,train,test,autopicker,autopicker,False,ZQ.AAM2,train|val,True
stead_event_00086,427423,val,train,autopicker,autopicker,False,ZQ.AAM2,train|val|test,True
stead_event_00087,405375,train,train,autopicker,autopicker,False,ZQ.AAM2,train|test,True
stead_event_00088,419718,test,train,autopicker,autopicker,False,ZQ.AAM2,val|test,True
stead_event_00089,335476,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00090,377479,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00091,427431,val,train,autopicker,autopicker,False,ZQ.AAM2,train|val,True
stead_event_00092,413582,val,train,autopicker,autopicker,False,ZQ.AAM2,train|val,True
stead_event_00093,408473,train,train,autopicker,autopicker,False,ZQ.AAM2,train|test,True
stead_event_00094,197886,val,train,autopicker,autopicker,False,ZQ.AAM2,val,True
stead_event_00095,334594,train,train,autopicker,autopicker,False,ZQ.AAM2,train|val,True
stead_event_00096,406475,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00097,419606,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00098,43425,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00099,37441,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00100,441362,train,val,autopicker,autopicker,False,ZQ.AAM2,train|val|test,True
stead_event_00101,101667,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00102,45392,train,train,autopicker,autopicker,False,ZQ.AAM2,train|val,True
stead_event_00103,495,train,test,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00104,428586,test,train,autopicker,autopicker,False,ZQ.AAM2,test,False
stead_event_00105,36493,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00106,366492,train,train,autopicker,autopicker,False,ZQ.AAM2,train,True
stead_event_00107,371473,val,train,autopicker,autopicker,False,ZQ.AAM3,train|val|test,True
stead_event_00108,449393,train,test,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00109,427423,train,train,autopicker,autopicker,False,ZQ.AAM3,train|val|test,True
stead_event_00110,405375,train,train,autopicker,autopicker,False,ZQ.AAM3,train|test,True
stead_event_00111,448605,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00112,423377,test,train,autopicker,autopicker,False,ZQ.AAM3,test,False
stead_event_00113,338507,val,val,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00114,429451,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00115,429464,test,train,autopicker,autopicker,False,ZQ.AAM3,train|test,True
stead_event_00116,423507,val,train,autopicker,autopicker,False,ZQ.AAM3,val,True
stead_event_00117,37255,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00118,39672,test,train,autopicker,autopicker,False,ZQ.AAM3,train|test,True
stead_event_00119,458578,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00120,40969,val,val,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00121,419718,test,train,autopicker,autopicker,False,ZQ.AAM3,val|test,True
stead_event_00122,335476,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00123,377479,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00124,427431,train,train,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00125,431338,train,test,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00126,413582,val,train,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00127,408473,test,train,autopicker,autopicker,False,ZQ.AAM3,train|test,True
stead_event_00128,392291,train,val,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00129,428454,train,train,autopicker,autopicker,False,ZQ.AAM3,train|test,True
stead_event_00130,474506,train,train,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00131,406475,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00132,419463,train,test,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00133,419606,train,train,autopicker,autopicker,False,ZQ.AAM3,train,True
stead_event_00134,441362,test,val,autopicker,autopicker,False,ZQ.AAM3,train|val|test,True
stead_event_00135,458505,train,train,autopicker,autopicker,False,ZQ.AAM3,train|val,True
stead_event_00136,12092789,train,train,autopicker,autopicker,False,KZ.ABKAR,train,True
stead_event_00137,12653337,val,train,autopicker,autopicker,False,KZ.ABKAR,val,True
stead_event_00138,99434884,train,train,autopicker,autopicker,False,KZ.ABKAR,train,True
stead_event_00139,33352332,test,train,autopicker,autopicker,False,KZ.ABKAR,test,False
stead_event_00140,602347413,test,test,manual,manual,True,PR.ABVI,train|test,True
stead_event_00141,602347413,train,test,manual,manual,True,PR.ABVI,train|test,True
stead_event_00142,604652658,train,train,manual,manual,True,C1.AC04,train,True
stead_event_00143,606918008,train,train,manual,manual,True,C1.AC04,train,True
stead_event_00144,604751880,train,train,manual,manual,True,C1.AC04,train,True
stead_event_00145,604856436,train,train,manual,manual,True,C1.AC04,train,True
stead_event_00146,604856436,train,train,manual,autopicker,False,C1.AC04,train,True
stead_event_00147,605416371,train,train,manual,manual,True,C1.AC04,train,True
stead_event_00148,606932637,train,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00149,606932637,train,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00150,606932637,test,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00151,606932637,train,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00152,606732084,train,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00153,606732084,train,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00154,606732084,test,train,manual,manual,True,C1.AC04,train|test,True
stead_event_00155,606831117,train,train,manual,manual,True,C1.AC04,train,True
stead_event_00156,610587346,train,train,manual,manual,True,C1.AC04,train|val,True
stead_event_00157,610587346,val,train,manual,manual,True,C1.AC04,train|val,True
stead_event_00158,607215166,train,train,manual,manual,True,C1.AC04,train|val,True
stead_event_00159,607215166,val,train,manual,manual,True,C1.AC04,train|val,True
stead_event_00160,607215166,train,train,manual,manual,True,C1.AC04,train|val,True
stead_event_00161,ld60047501,train,test,manual,manual,True,LD.ACCN,train,True
stead_event_00162,603441563,train,test,autopicker,autopicker,False,IV.ACER,train,True
stead_event_00163,ak012cd72sd0,train,val,manual,manual,True,AV.ACH,train,True
stead_event_00164,ak19299578,train,train,autopicker,autopicker,False,AV.ACH,train,True
stead_event_00165,ak19771635,val,train,manual,manual,True,AV.ACH,val,True
stead_event_00166,17333898,train,train,manual,autopicker,False,NI.ACOM,train,True
stead_event_00167,604373274,train,val,manual,autopicker,False,NI.ACOM,train,True
stead_event_00168,606627084,train,train,manual,manual,True,NI.ACOM,train,True
stead_event_00169,606627084,train,train,manual,manual,True,NI.ACOM,train,True
stead_event_00170,606627084,train,train,manual,manual,True,NI.ACOM,train,True
stead_event_00171,13989760,train,train,manual,manual,True,HA.ACOR,train,True
stead_event_00172,13843703,train,train,manual,autopicker,False,HA.ACOR,train,True
stead_event_00173,14766987,train,train,manual,manual,True,HA.ACOR,train,True
stead_event_00174,13991842,train,train,manual,autopicker,False,HA.ACOR,train,True
stead_event_00175,14788283,train,train,manual,manual,True,HA.ACOR,train,True
stead_event_00176,16334221,train,train,manual,manual,True,HA.ACOR,train,True
stead_event_00177,16334499,train,test,manual,manual,True,HA.ACOR,train,True
stead_event_00178,16336727,test,test,manual,manual,True,HA.ACOR,test,False
stead_event_00179,15165639,train,train,manual,manual,True,HA.ACOR,train,True
stead_event_00180,15217350,train,train,manual,manual,True,HA.ACOR,train,True
stead_event_00181,ci15180441,train,train,automatic,manual,False,CI.ADO,train,True
stead_event_00182,ci15195785,test,train,manual,manual,True,CI.ADO,test,False
stead_event_00183,ci15245897,test,val,manual,manual,True,CI.ADO,test,False
stead_event_00184,ci11209170,train,test,automatic,manual,False,CI.ADO,train,True
stead_event_00185,ci15396745,train,train,automatic,manual,False,CI.ADO,train,True
stead_event_00186,603962507,val,train,manual,manual,True,CI.ADO,train|val,True
stead_event_00187,603962507,train,train,manual,manual,True,CI.ADO,train|val,True
stead_event_00188,603964160,train,val,manual,manual,True,CI.ADO,train,True
stead_event_00189,ci11414410,train,train,automatic,manual,False,CI.ADO,train,True
stead_event_00190,603964160,train,val,manual,manual,True,CI.ADO,train,True
stead_event_00191,605615919,test,train,manual,autopicker,False,CI.ADO,test,False
stead_event_00192,13435661,test,train,manual,autopicker,False,KO.ADVT,test,False
stead_event_00193,15898998,train,test,manual,manual,True,KO.ADVT,train,True
stead_event_00194,15899135,train,test,manual,manual,True,KO.ADVT,train,True
stead_event_00195,16357910,train,train,manual,autopicker,False,KO.ADVT,train,True
stead_event_00196,16357939,val,train,manual,manual,True,KO.ADVT,val,True
stead_event_00197,13498466,test,val,manual,manual,True,HT.AGG,test,False
stead_event_00198,12951536,test,train,manual,manual,True,HT.AGG,test,False
stead_event_00199,12099896,val,val,manual,manual,True,HT.AGG,train|val,True
stead_event_00200,14188784,train,train,manual,manual,True,HT.AGG,train|test,True
stead_event_00201,14588781,train,val,manual,autopicker,False,HT.AGG,train,True
stead_event_00202,600734280,train,train,manual,autopicker,False,HT.AGG,train|test,True
stead_event_00203,600734280,test,train,manual,autopicker,False,HT.AGG,train|test,True
stead_event_00204,600268280,train,val,manual,manual,True,HT.AGG,train,True
stead_event_00205,603808481,train,train,manual,manual,True,HT.AGG,train,True
stead_event_00206,603808634,train,train,manual,autopicker,False,HT.AGG,train|val,True
stead_event_00207,603808676,train,train,manual,manual,True,HT.AGG,train,True
stead_event_00208,605626911,train,test,manual,autopicker,False,HT.AGG,train,True
stead_event_00209,14371821,train,train,manual,manual,True,NI.AGOR,train,True
stead_event_00210,14576401,train,train,manual,manual,True,NI.AGOR,train,True
stead_event_00211,14782928,train,train,manual,manual,True,NI.AGOR,train,True
stead_event_00212,17223314,train,train,manual,manual,True,NI.AGOR,train,True
stead_event_00213,14710743,train,val,manual,manual,True,PR.AGPR,train,True
stead_event_00214,604048568,val,train,manual,manual,True,PR.AGPR,train|val,True
stead_event_00215,604048568,train,train,manual,manual,True,PR.AGPR,train|val,True
stead_event_00216,604441092,train,train,manual,manual,True,PR.AGPR,train,True
stead_event_00217,pr2018175002,val,train,manual,manual,True,PR.AGPR,train|val,True
stead_event_00218,12680913,train,test,manual,manual,True,IV.AGST,train,True
stead_event_00219,15636453,val,val,manual,autopicker,False,US.AHID,val,True
stead_event_00220,600138494,train,train,manual,autopicker,False,US.AHID,train,True
stead_event_00221,600138494,train,train,manual,autopicker,False,US.AHID,train,True
stead_event_00222,600138494,train,train,autopicker,manual,False,US.AHID,train,True
stead_event_00223,600846551,train,train,manual,autopicker,False,US.AHID,train,True
stead_event_00224,600846551,train,train,manual,autopicker,False,US.AHID,train,True
stead_event_00225,602562570,train,test,manual,manual,True,US.AHID,train|test,True
stead_event_00226,602562570,test,test,manual,manual,True,US.AHID,train|test,True
stead_event_00227,603798149,train,test,manual,autopicker,False,US.AHID,train|test,True
stead_event_00228,603798149,test,test,manual,autopicker,False,US.AHID,train|test,True
stead_event_00229,hv60911911,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00230,hv60964166,val,train,manual,manual,True,HV.AHUD,val,True
stead_event_00231,hv60967326,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00232,hv60968786,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00233,hv60984166,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00234,hv60996411,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00235,hv61004481,val,val,manual,manual,True,HV.AHUD,train|val,True
stead_event_00236,hv61010506,train,train,manual,manual,True,HV.AHUD,train|val,True
stead_event_00237,hv61023526,train,train,manual,manual,True,HV.AHUD,train|val,True
stead_event_00238,hv61067901,train,val,manual,manual,True,HV.AHUD,train,True
stead_event_00239,hv61128081,train,test,manual,manual,True,HV.AHUD,train,True
stead_event_00240,hv61190256,test,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00241,hv61190896,test,val,manual,manual,True,HV.AHUD,train|test,True
stead_event_00242,hv61199221,test,val,manual,manual,True,HV.AHUD,train|test,True
stead_event_00243,hv61222466,train,test,manual,manual,True,HV.AHUD,train,True
stead_event_00244,hv61231421,train,val,manual,manual,True,HV.AHUD,train,True
stead_event_00245,hv61238131,test,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00246,hv61245221,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00247,hv61293831,test,val,manual,manual,True,HV.AHUD,test,False
stead_event_00248,hv61404066,test,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00249,hv61414371,val,test,autopicker,autopicker,False,HV.AHUD,train|val,True
stead_event_00250,hv61430876,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00251,hv61431046,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00252,hv61437156,val,train,autopicker,autopicker,False,HV.AHUD,train|val,True
stead_event_00253,hv61468921,train,test,manual,manual,True,HV.AHUD,train|val,True
stead_event_00254,hv61496121,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00255,hv61519276,train,val,manual,manual,True,HV.AHUD,train,True
stead_event_00256,hv61522431,test,val,manual,manual,True,HV.AHUD,test,False
stead_event_00257,hv61542831,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00258,hv61553736,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00259,hv61568526,train,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00260,hv61609331,train,val,manual,manual,True,HV.AHUD,train,True
stead_event_00261,hv61623346,test,train,manual,manual,True,HV.AHUD,test,False
stead_event_00262,hv61623926,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00263,hv61630461,train,test,manual,manual,True,HV.AHUD,train,True
stead_event_00264,hv61631096,test,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00265,hv61631916,val,test,manual,manual,True,HV.AHUD,train|val,True
stead_event_00266,hv61636536,train,train,manual,manual,True,HV.AHUD,train|val,True
stead_event_00267,hv61672961,val,train,manual,manual,True,HV.AHUD,train|val,True
stead_event_00268,hv61713526,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00269,hv61715021,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00270,hv61720621,val,test,manual,manual,True,HV.AHUD,train|val,True
stead_event_00271,hv61804466,val,train,autopicker,autopicker,False,HV.AHUD,train|val,True
stead_event_00272,hv61866736,test,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00273,hv62007486,test,train,manual,manual,True,HV.AHUD,train|test,True
stead_event_00274,hv62014031,train,train,manual,manual,True,HV.AHUD,train,True
stead_event_00275,hv62015441,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00276,hv70021937,val,train,manual,manual,True,HV.AHUD,val,True
stead_event_00277,hv70088721,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00278,hv70104051,val,val,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00279,hv70112676,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00280,hv70118556,test,train,autopicker,autopicker,False,HV.AHUD,test,False
stead_event_00281,hv70244357,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00282,hv70249957,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00283,hv70259221,train,train,autopicker,autopicker,False,HV.AHUD,train|test,True
stead_event_00284,hv70264616,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00285,hv70264911,train,val,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00286,hv70267506,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00287,hv70268561,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00288,hv70274351,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00289,hv70278546,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00290,hv70284886,train,val,manual,manual,True,HV.AHUD,train,True
stead_event_00291,hv70284971,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00292,hv70288751,val,val,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00293,hv70291961,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00294,hv70296771,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00295,hv70301106,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00296,hv70304606,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00297,hv70313911,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00298,hv70326671,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00299,hv70329746,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00300,hv70331796,train,val,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00301,hv70332396,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00302,hv70337366,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00303,hv70340691,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00304,hv70341951,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00305,hv70343071,test,train,autopicker,autopicker,False,HV.AHUD,test,False
stead_event_00306,hv70348236,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00307,hv70360151,train,val,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00308,hv70367701,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00309,hv70368966,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00310,hv70373191,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00311,hv70374286,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00312,hv70385946,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00313,hv70395916,test,train,autopicker,autopicker,False,HV.AHUD,test,False
stead_event_00314,hv70397626,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00315,hv70413467,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00316,hv70416522,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00317,hv70420532,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00318,hv70423887,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00319,hv70429722,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00320,hv70444457,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00321,hv70447517,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00322,hv70447632,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00323,hv70448697,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00324,hv70451057,test,train,autopicker,autopicker,False,HV.AHUD,test,False
stead_event_00325,hv70461537,val,train,autopicker,autopicker,False,HV.AHUD,val,True
stead_event_00326,hv70475557,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00327,hv70476007,train,test,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00328,hv70497302,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00329,hv70503637,train,train,autopicker,autopicker,False,HV.AHUD,train,True
stead_event_00330,hv60964161,train,train,manual,manual,True,HV.AIND,train,True
stead_event_00331,hv60964166,val,train,manual,manual,True,HV.AIND,val,True
stead_event_00332,hv60984166,train,train,manual,manual,True,HV.AIND,train,True
stead_event_00333,hv60989531,train,train,manual,manual,True,HV.AIND,train,True
stead_event_00334,hv60996411,train,train,manual,manual,True,HV.AIND,train,True
stead_event_00335,hv61004481,train,val,manual,manual,True,HV.AIND,train|val,True
stead_event_00336,hv61010506,val,train,manual,manual,True,HV.AIND,train|val,True
stead_event_00337,hv61023526,val,train,manual,manual,True,HV.AIND,train|val,True
stead_event_00338,hv61067901,train,val,manual,manual,True,HV.AIND,train,True
stead_event_00339,hv61190256,train,train,manual,manual,True,HV.AIND,train|test,True
stead_event_00340,hv61190896,train,val,manual,manual,True,HV.AIND,train|test,True
stead_event_00341,hv61199221,train,val,manual,manual,True,HV.AIND,train|test,True
stead_event_00342,hv61238131,train,train,manual,manual,True,HV.AIND,train|test,True
stead_event_00343,hv61404066,train,train,manual,manual,True,HV.AIND,train|test,True
stead_event_00344,hv61414371,train,test,autopicker,autopicker,False,HV.AIND,train|val,True
stead_event_00345,hv61431046,train,train,manual,manual,True,HV.AIND,train,True
stead_event_00346,hv61437156,train,train,autopicker,autopicker,False,HV.AIND,train|val,True
stead_event_00347,hv61468921,train,test,manual,manual,True,HV.AIND,train|val,True
stead_event_00348,hv61519276,train,val,manual,manual,True,HV.AIND,train,True
stead_event_00349,hv61534221,train,val,autopicker,autopicker,False,HV.AIND,train,True
stead_event_00350,hv61542831,train,train,autopicker,autopicker,False,HV.AIND,train,True
stead_event_00351,hv61568526,test,train,manual,manual,True,HV.AIND,train|test,True
stead_event_00352,hv61609331,train,val,manual,manual,True,HV.AIND,train,True
