event_id,source_id,file_name,experiment,case_type,component,rank,p_error_ms,s_error_ms,p_status,s_status,SNR,source_magnitude,source_distance_km,figure_file
stead_event_00247,hv61105861,,Full3C,S_outlier,S,20,70.0000000000003,4300,uncertain,detected,31.39999962,2.22,2.51,failure_Full3C_S_outlier_rank20_.png
stead_event_00050,16538652,,Full3C,S_not_detected,S,1,0,NaN,detected,not_detected,62.09999847,2.3,4.83,failure_Full3C_S_not_detected_rank01_.png
stead_event_00080,hv60908481,,Full3C,S_not_detected,S,2,-20.0000000000014,NaN,detected,not_detected,30.79999924,2.32,5.76,failure_Full3C_S_not_detected_rank02_.png
stead_event_00305,hv61190896,,Full3C,S_not_detected,S,3,0,NaN,detected,not_detected,39.29999924,2.5,2.2,failure_Full3C_S_not_detected_rank03_.png
stead_event_00313,hv61198966,,Full3C,S_not_detected,S,4,9.99999999999979,NaN,detected,not_detected,35.40000153,2.12,2.87,failure_Full3C_S_not_detected_rank04_.png
stead_event_01178,ci10321469,,Full3C,S_not_detected,S,5,33220,NaN,not_detected,not_detected,32.40000153,1.61,8.65,failure_Full3C_S_not_detected_rank05_.png
stead_event_00069,hv60906871,,Full3C,S_uncertain,S,1,0,-70.0000000000003,detected,uncertain,28.29999924,2.11,5.63,failure_Full3C_S_uncertain_rank01_.png
stead_event_00245,hv61099496,,Full3C,S_uncertain,S,2,190,-19.9999999999996,detected,uncertain,23.70000076,1.96,2.8,failure_Full3C_S_uncertain_rank02_.png
stead_event_00688,hv61383356,,Full3C,S_uncertain,S,3,29.9999999999994,-5220,detected,uncertain,47.29999924,2.44,8.86,failure_Full3C_S_uncertain_rank03_.png
stead_event_00823,hv61026081,,Full3C,S_uncertain,S,4,-30.0000000000002,8350,detected,uncertain,42.59999847,2.31,13.17,failure_Full3C_S_uncertain_rank04_.png
stead_event_00860,hv61146926,,Full3C,S_uncertain,S,5,49.9999999999998,-140.000000000001,detected,uncertain,31,1.62,12.43,failure_Full3C_S_uncertain_rank05_.png
